"Identifiant technique de la structure";"Complément destinataire (coord. structure)";"Complément point géographique (coord. structure)";"Numéro Voie (coord. structure)";"Indice répétition voie (coord. structure)";"Code type de voie (coord. structure)";"Libellé type de voie (coord. structure)";"Libellé Voie (coord. structure)";"Mention distribution (coord. structure)";"Bureau cedex (coord. structure)";"Code postal (coord. structure)";"Code commune (coord. structure)";"Libellé commune (coord. structure)";"Code pays (coord. structure)";"Libellé pays (coord. structure)";"Téléphone (coord. structure)";"Téléphone 2 (coord. structure)";"Télécopie (coord. structure)";"Adresse e-mail (coord. structure)";"Date de mise à jour (coord. structure)";"Date de fin (coord. structure)";
"F01000326710081942";"";"";"15";"";"R";"Rue";"PASTEUR";"";"01000 BOURG-EN-BRESSE";"01000";"01053";"Bourg-en-Bresse";"";"";"0474226750";"";"0474236485";"";"14/09/2011";"";
"F01000427315012008";"";"";"1";"";"R";"Rue";"DE LYON";"";"01800 MEXIMIEUX";"01800";"01244";"Meximieux";"99000";"France";"0474610012";"";"0474612068";"soniagay1984@gmail.com";"15/09/2020";"";
"F01000525412111990";"";"";"422";"";"RTE";"Route";"DE LA MADELEINE";"";"01750 REPLONGES";"01750";"01320";"Replonges";"";"";"0385310274";"";"0385310422";"";"06/06/2018";"";
"F03000214101072013";"";"";"17";"";"AV";"Avenue";"DU DRAPEAU";"";"03300 CUSSET";"03300";"03095";"Cusset";"99000";"France";"0470983884";"";"0470976115";"";"24/05/2013";"";
"F030783278";"";"BP.609";"10";"";"AV";"Avenue";"GENERAL DE GAULLE";"";"03006 MOULINS CEDEX";"03006";"03190";"Moulins";"";"";"0470207777";"";"";"";"05/02/2003";"01/04/2002";
"F060798758";"";"";"111";"";"BD";"Boulevard";"DE LA PLAGE";"";"06800 CAGNES SUR MER";"06800";"06027";"Cagnes-sur-Mer";"";"";"0493310995";"";"0493143815";"marina@belage.org";"14/10/2010";"01/10/2009";
"F06001903108071996";"";"";"10";"";"R";"Rue";"DE LA SUISSE";"";"06000 NICE";"06000";"06088";"Nice";"99000";"France";"0493883381";"";"";"";"07/09/2009";"";
"F06001516101052007";"";"";"10";"";"R";"Rue";"BONAPARTE";"";"06300 NICE";"06300";"06088";"Nice";"";"";"0493553132";"";"0493560526";"pharmaciedupin@wanadoo.fr";"28/06/2016";"";
"F060786100";"";"";"2";"";"COR";"Corniche";"A DE JOLY";"";"06300 NICE";"06300";"06088";"Nice";"";"";"0493896278";"";"";"";"31/03/2014";"31/03/2014";
"F080004625";"";"MAIRIE DE BOUVELLEMONT";"";"";"";"";"";"";"08430 POIX TERRON";"08430";"08341";"Poix-Terron";"";"";"";"";"";"";"01/03/2005";"28/04/1992";
